text,label
"Presiden @jokowi menyapa langsung tim Indonesia Search and Rescue (INASAR) dan Duta Besar Indonesia untuk Turki, Lalu Muhammad Iqbal, yang tengah menjalankan misi kemanusiaan membantu korban gempa Turki.",0
Gempa bumi dan update status adalah hal yg tidak bs dipisahkan #AnuNgawur,0
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
"giliran lu pada pergi mau ke kota kota lain berasa ga ada bencana alam , giliran gw yang mau pergi ada aja hujan longsor - gempa - tsunami. kiamat aja sekalian kntl",0
"Seperti halnya dengan musibah kebanjiran, tsunami, gempa bumi, gunung meletus, longsor beserta angin topan. Terus apa lagi? Boleh juga musibah penyakit, atau perkara setoran kurang sementara sewa kosong, atau tentang perkara punya susu gede. Ini azab atau ujian, Pak Ustadz? #8",0
"Bencana meteorologi : banjir, kekeringan, dan topan, badai.",0
yang merasa KECE sejagat raya Promot gue coba. yang ak promot gue bikin Tsunami,0
"Walah.. baru puting
beliung aja udah kaya
gitu,gimana kalau udel
beliung, apalagi udellle
buodong.",0
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
hujan badai angin ribut halilintar puting beliung banjir badai tsunami kabeh gempa bumi RIBUT RIBUUTTT,1
"jahat banget sih, gak ngehargain perasaan orang. biarin aja kena tsunami :'(",0
Gempa....,1
Kamu merasa gempa gak ? ada kamu yang mengguncang hatiku sih.,0
"aku gak perlu ramalan cuaca BMKG walaupun mau ada ujan,badai,tsunami. aku akan tetap pertahaan cinta aku demi kamu Teens_Yori",0
gempa ya?,1
yang merasa KECE sejagat raya Promot gue coba. yang ak promot gue bikin Tsunami,0
[bb] Rekomen cushion buat dry skin dong yang anti longsor dan ga bikin crack soalnya mau dipake lamaa. Terus shade cushion tuh harusnya sama bgt kaya skin tone kita atau setingkat di atas skin tone kita sih? TIA,0
DPC #PartaiDemokrat Surabaya memberikan bantuan sembako kepada warga terdampak bencana erupsi Gunung Semeru,0
"Rakyat Papua tak henti dirundung masalah. Bak sudah jatuh tertimpa tangga pula. Belum juga tuntas kasus teror KKB dan kemiskinan, rakyat Papua kini ditimpa bencana gempa.
serba-serbi MMC
#Islamkaffah",0
yang merasa KECE sejagat raya Promot gue coba. yang ak promot gue bikin Tsunami,0
"Sesuai instruksi Ketum AHY, Demokrat Kabupaten Malang, menyalurkan air bersih untuk korban banjir dan tanah longsor di  #AHYPimpinPerubahan",0
"INGAT! GEMPA ITU FENOMENA ALAM, BUKAN BENCANA ALAM! KENAPA? KARENA SERING-SERINGNYA, MUNCULNYA KORBAN MENINGGAL AKIBAT ULAH MANUSIA YANG MENDIRIKAN BANGUNAN YG TIDAK TANAH GEMPA! LONGSOR, TSUNAMI, GUNUNG MELETUS, BARU BISA DIBILANG BENCANA ALAM!",0
"Gempa,tanah longsor,banjir,erupsi reminder untuk diri sendiri segera memperbaiki diri 🥹",0
"Lagi dan lagi gw belajar. Emang benar pondasi hubungan itu ada dipihak laki-laki.
Kalau laki-laki itu kuat dan mau bertahan, ibaratkan perempuannya kayak badai, angin topan, tsunami sekalipun misal dia beneran sayang.
Ga ada ceritanya laki-laki yang serius ngelepasin gitu aja.",0
gempa ya?,1
"Kaya coki LGBT singkatan dari Longsor, Gempa Bumi, Tsunami. 🥸",0
Kamu merasa gempa gak ??? ada kamu yang mengguncang hatiku sih. teens_kikies,0
BIN Buka Posko Tanggap Darurat Gempa Cianjur https://twitte #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur,1
AHY: Mari bersama kita berdoa untuk warga di wilayah Kabupaten Lumajang dan sekitarnya yang terdampak erupsi Gunung Sem #AHYPimpinPerubahan,0
Malay tsunami,1
Gempa,1
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
"sekola teh mau hujan, banjir bandang, tanah longsor, angin puting beliung, kiamat sugro tetep aja we upacara",1
"Polri Bantu Masyarakat Terdampak Bencana Alam Banjir dan  Tanah Longsor di  Garut 

Kepolisian Resor Garut siapkan area pengungsian bagi warga yang terdampak banjir untuk mengantusipasi terdapatnya banjir susulan. Polri acuhkan dan sigap bencana alam.

#SigapTanggapPeduli

Hadir",0
"aku gak perlu ramalan cuaca BMKG walaupun mau ada ujan,badai,tsunami. aku akan tetap pertahaan cinta aku demi kamu Teens_Yori",0
"Walah.. baru puting
beliung aja udah kaya
gitu,gimana kalau udel
beliung, apalagi udellle
buodong.",0
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
yang merasa KECE sejagat raya Promot gue coba. yang ak promot gue bikin Tsunami,0
Gempa,1
Gempa ga sih?,1
AHY: Saya instruksikan kepada kader #PartaiDemokrat Lumajang &amp; Provinsi Jatim untuk bisa segera turun membantu warga terdampak erupsi,0
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
"Kali Jantung Meluap, Ratusan Rumah di Perumahan Cening Ampe, Cilodong, Depok Terendam Banjir: Hujan deras membuat sejumlah",1
"Langit e peteng , udan e Soyo deres klebus , banjir tanah longsor , badai puting beliung 😩😩😩 pehh",1
Kamu merasa gempa gak ? ada kamu yang mengguncang hatiku sih.,0
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
Guys doain ya mudah mudahan lancar donasi untuk korban banjir,0
LGBT = Longsor Gempa Banjir Tsunami,1
yang merasa KECE sejagat raya Promot gue coba. yang ak promot gue bikin Tsunami,0
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
Tanah longsor dimana-mana,0
ih gempa?,1
"jahat banget sih, gak ngehargain perasaan orang. biarin aja kena tsunami :'(",0
"Jadi, tdi mlem aku bilang k temen kalau aku ada problem sma seseorang, trus aku mau ambil ala2 jalur hukum, biar orangnya jera.
Terus malemnya mimpi dikejar angin puting beliung, juga di kejar tsunami.

Pas kbangun sadar, bahwa rncana sya ini gk bner, akhirnya gk jadi deh.🤣",0
"Hai #SobatBMKG, tahukah kamu, perubahan iklim &amp; kerusakan lingkungan bisa memicu terjadinya cuaca ekstrem yg menyebabkan bencana alam hidrometeorologi seperti siklon tropis, banjir, tanah longsor, puting beliung, gelombang tinggi laut, dsb #SDMUnggul #BMKGAndal #IndonesiaTangguh",0
"Walah.. baru puting
beliung aja udah kaya
gitu,gimana kalau udel
beliung, apalagi udellle
buodong.",0
"Walah.. baru puting
beliung aja udah kaya
gitu,gimana kalau udel
beliung, apalagi udellle
buodong.",0
Longsor Gempa Banjir Tsunami,1
"Siang yang mendung, mungkin seperti hati kita semua. Yuk kita saling menguatkan dan mendoakan untuk semua saudara kita yang terdampak erupsi Gunung Semeru. Dan juga mendoakan progres pembangunan Papua Youth Creative Hub agar berjalan dengan lancar.",0
"Walah.. baru puting
beliung aja udah kaya
gitu,gimana kalau udel
beliung, apalagi udellle
buodong.",0
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
gempa?,1
"Presiden Jokowi didampingi Menteri Pertahanan Prabowo Subianto memberangkatkan bantuan kemanusiaan untuk korban gempa Turki dan Suriah.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Lebih Baik Prabowo",0
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
Teume YouN1T: 2022 akhir ngeri banget kaya diterjang banjir longsor gempa bumi tsunami,0
