text,label
"Bener2 ini jumat berkah dari malem ketemu malem ujan,semoga ga banjir ya Allah 😭",0
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
Liverpool Tsunami cidera ini namanya,0
"Kemaren pas nerjang banjir kira kira 3/4 ban motor, di liatin sama orang orang. Mungkin dlm hati mereka “gila juga ni cewe”",0
Gempa...?,1
"Knapa cewe kalo vidioan bari jedag jedug  joged kudu ngegel calangap gegel calangap sungutna teh? Sungut sia longsor apa kumaha, samaruk hade kampring",0
"Memaksa kerja, padahal yang aku tau kalo IRT terserah mau kerja ato dirumah yg intinya beres"" rumah jaga anak🥺 tapi knpa malah di suru paksa buat kerja 😭",0
Hujaaan deress bgt aaakk semoga ga banjir soalnya gue sendirian😭,0
BIN distribusikan bantuan untuk korban gempa https://twitte #BINResponCepatBencanaAlam #BINPeduliKorbanBencana #BINTurutBerdukaGempaCianjur,0
Untung ujan jadi bisa ngilangin debu erupsi😥,0
"Gempa, Tsunami, Gunung Meletus, Banjir, Longsor dan Bencana lainnya bukan sebatas Gejala Alam Tapi Peringatan bahkan Teguran dari Pencipta dan Pemilik Alam semesta.

Mari segera Introspeksi diri...",0
"Chico, Syabda, dan anak non pelatnas lainnya lagi pada jalan-jalan ke Museum Tsunami Aceh, Pantai Lampuuk. Sekalian ke titik nol km ga nih?

Jadi kangen pengen kesana lagi 😭☝🏻",0
"Org laen kalo ping!aku di bbm cuma hpny yg geter kalo kamu yg ping, Cinta aku yan geter kaya gempa bumi Teens_Yori",0
Semoga erupsi gunung Semeru lekas membaik,0
Anggaran sepakbola kalo buat yg lain mungkin dah tsunami trofi.,0
Biasanya kalo kohend lg error babah ttp gacor..... ini 2-2nya kok longsor bgt busettt.. ada kesel2nya dikit td tapi banyakan sedihnya sih..,0
"Longsor lagi bae
#cryptocurrency",0
tadi gempa atau gw lagi puyeng ya,0
"Ya Allah, lagi banyak gempa ☹️",0
Gempa mulu dahh,1
ini atbo bene nya kok ngalir terus ya kek tsunami,0
Bisa gak postingan korban gempa ga lewat di TL 😣 gak kuat.,0
mau nangis liat foto salah satu korban erupsi gunung Semeru. ya Allah semoga para korban yg terdampak di beri perlindunganMu,0
"gempa Tohoku Jepang tahun 2011 itu 9.1 tapi hampir ga ada kerusakan bangunan &amp; rumah, hancurnya karena kesapu tsunami. pemerintah Indonesia ga mau belajar kesana apa ya, bikin aturan bangunan tahan gempa, ga cuma untuk gedung tinggi aja",0
"Terima kasih bapak yang sudah menolongku disaat terjeglong air banjir, Terima kasih juga untuk anak anak yang sudah menuntunkan motorku. Semoga kebaikanmu di balas oleh Yang Maha Kuasa.",0
Mana ko ga ada Susanti pulkam? Adanya angin puting beliung,1
"awal yang menyedihkan berakhir menyakitkan, katanya cinta indah kok ini banjir air mata",0
"Dari korban banjir hingga korban longsor, hanya korban janji yang tidak bisa dievakuasi.😩😩",0
"Stay safe buat semuanya dan yg di bogor ya, lg banyak banjir sm longsor disana😟",0
"ini crypto setahun kena 2x tsunami
cz sendirian nga bakal mampu",0
"Gempa Bumi Turkiye-Syria

Turkiye: 31,643, 
Syria: 4,500. 

 Jumlah kematian setakat ini 36,143.",0
"#live wawancara dengan Kepala Bidang Kedaruratan dan Logistik BPBD Kabupaten Mojokerto Joko Supangkat terkait update kondisi warga pasca terjadinya angin puting beliung di Mojokerto.

Selengkapnya di 88.8FM PRO 3 RRI. -AMD",1
"jayapura gempa, mana dia di jayapura lagi",0
"gw suka ujan, klo ga bikin banjir dan atap rumah ga bocor 🙂👍",1
"Hallo basudara basudara samua!! Wahh kali ini gempa Maluku sangat kencang dan mag gempa nya sekitar 7,9.
Sobat sobat di ambon semua tetap berdoa. SIAGA TSUNAMI! , Tapi ada juga harus waspada.
Inilah daerah yang harus Siaga!
Siaga:
Maluku-Tengah 
Kepulauan Maluku-Tenggara #Ambon",0
"New video: semeru erupsi besar lagi saat ini banjir besar saat ini juga masih berlangsung dan hujan lebat(3)

semeru erupsi besar lagi saat ini banjir besar saat ini juga masih berlangsung dan hujan lebat",0
"random bgt mimpi pacaran sma hc 😳 tapi pas lgi jalan ada angin puting beliung gt anjir, jdi kita kayak ngungsi gtu, udahan anginnya lnjut jalan, hc nya full senyum wkwk abis itu udahan deh bangun. 😭",0
"Gempa pagi ini di bali...
Sarapanya goyang",0
"Bahaya zaman sekarang, ada Teknologi yang boleh buat bencana alam, hujan, gempa bumi, ribut, taufan",0
Alhamdulillah tsunami orderan,1
"Turut berduka cita untuk korban yang terdampak gempa di Papua, semoga selalu diberikan kekuatan dan lindungan oleh Allah SWT. Aamiin",0
Tuhh kan gempa orang2 yg di tenda pada keluar,0
"Lagi cerita2 diruang tamu sm mm &amp; pp , terus pp bilang kemaren sempet khawatir soalnya adek abis dr pantai Carita takut ada gempa dan tsunami pas dia disana, pp inget maksudnya yg 2018 itu terus gue bilang itu kan jaman aku pacran sm ex sambil ketawa2 tuh, tapi pp tiba-tiba....",0
its a trick. they want us to think its beliung but i dont think boi would trust beliung so most likely gempa or duri since uhm gempa wants to protect 👉👈 and duri is like i think related to the oakuat fruit. ok later i go read again,1
"Setelah gempa Cianjur, banjir bandang di Pati lalu gempa di Garut &amp; sekarang erupsi Gunung Semeru Yaa Robbana, selamatkanlah saudara2 kami yg berada di wilayah bencana &amp; selamatkanlah kami semua serta seluruh bangsa ini dari segala musibah &amp; marabahaya. Aamiin
#tolakojkdikoperasi",0
Waktu ada angin kenceng ada gempa kah,1
"Hai #SobatBMKG, tahukah kamu, perubahan iklim &amp; kerusakan lingkungan bisa memicu terjadinya cuaca ekstrem yg menyebabkan bencana alam hidrometeorologi seperti siklon tropis, banjir, tanah longsor, puting beliung, gelombang tinggi laut, dsb #SDMUnggul #BMKGAndal #IndonesiaTangguh",0
"Masih terlalu dini jagoan mama untuk ditumbangkan rintik badai. Masih juga diperlukan 1000 kawah gunung, guna menampung derasnya pendarahan ringan mesin penghancur tsunami rakitan bapak ini.",0
"Pondasi terkuat itu emang dari laki-laki. Kl perempuannya udah kayak angin topan badai puting beliung tsunami kekeh mau yg ngga"", tapi laki""nya ttp mau bertahan ya gaakan lepas😂",0
Dah 2 bulan menjauhkan diri dari indomi terus td bos dateng2 bawa idnomi. dipaksa ikut makan gegara blio rebusnya kebanyakan. longsor lah ini pertahanan,0
"sampe segitu nya ya ngefans ???? Gak habis pikir sih, kertas dibeli harus smua koleksi nya lengkap dahal bukan kolektor? HARUS POKONYA APAPUN TENTAMG BIAS HARUS,bela belain hujan panas banjir longsor puting beliung astagfirullah 

Wkwkkwkwkw mengapa Tuhan tolong sadarkan lah",1
"Uda @ivanlanin, aku izin bertanya. Penulisan ""pasca angin puting beliung"" yang benar itu bagaimana, ya? Mohon pencerahannya. Terima kasih, Uda. 🙏🏻",0
"3 bln ke dpn kalo tdk ada gempa Megatrush &amp; Tsunami maka smua aman.
Do'a mampu menolak bencana krn Allah Maha Baik.

Makanya perbanyak do'a &amp; ibadah serta menjauhkan diri dari maksiat.
Bila maksiat berkurang dan banyak yg beribadah maka bumi akan baik2 saja, tdk bergejolak/murka.",0
luar biasa ya bogor mana hujan deres dan ada longsor jadilah hectic,0
ini kalo beyond livemya hari ini cipete banjir,0
"Bisa-bisanya mimpi jadi elien trus karena baru mendarat di bumi jadi bahasa buminya masih terbata-bata. Tbtb di berita bilang kalau bakal ada kiamat, setiap orang boleh ngelakuin hal yg terahir yg dia mau, aku malah pilih ke pantai trus ada tsunami trus gelap",0
"Siap² @AlterEgo_IDN Tsunami Trophy, Kairi menangis liat Retri Celiboy barusan.",1
kesian betul la gempa bumi kat turki lagi smlm,0
lg rebahan trs gempa kenceng bgt. udh disenggol ni harus kelarin revisi. dr pagi kaga gerak gerak wkwk,1
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
"Habis drama kunci ilang, eh pas mau sampe rumah malah banjir, tingginya ± 30an cm, trabass aja lah bodoamat😭 mana sepanjang jaan",0
Area lahat kuat angin macam puting beliung ya allah @MohKeIpoh,1
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
"dri kmrn"" bnyk berita banjir daerah tetangga skrng domku sendiri yg banjir smpe bnyj yg longsor didaerah gunung, stay safe semuaaa",0
"Bencana terbesar suatu bangsa bkn lah Tsunami, tp kesalahan dalam memilih Pemimpin / Presiden nya, dan itu telah terjadi di Neg Indonesia cc @alisyarief @RFauzy5 @DokterTifa @Gojekmilitan @iwanpiliang7 @mohmahfudmd @cakimiNOW @Ronnie_Rusli @DPP_PKB @ucoxregar",0
"semoga bogor, malam ini, esok, dan seterusnya, reda dari semua hal yang tidak diinginkan. hujan badai, banjir, longsor, pohon tumbang, hilangnya teman-teman kita, semuanya cukup sampai hari ini. semoga bermunculan berita baik setelah ini. aamiin.",0
"Dikira enak kali berdiri di kaki orang, tekanannya udah kayak angin puting beliung kalau pengen tau",1
orang yang ngomong depresi jadi depresot pas hari pertama meninggal kuburannya longsor trus diratain dan dijadiin markas pemuda pancasila,0
"bantu up ya gus

FB dan RT

AKUN HABIS KENA LONGSOR KAWAN NKRI
@matanaudubillah

pasti di folback...
klo tidak ntr tag aja...
biar saya gazzzzz😂😂😂😂",0
wah sampe ada peringatan dini tsunami ya,0
aku dah la tgah kabut buat namelist tetibe mai bos sorg lagi suruh buat video pulak kepala bana lah hari ni mcm puting beliung,0
"Cuaca ekstrim , banyak banjir dan tanah longsor. 
Semoga tidak banyak korban jiwa.",0
"Kabar itu masuk jam 3 sore. Kami sedang di ruang editing. Istrinya, dua anaknya, ayah dan ibunya, dua adiknya, hilang disapu tsunami.

Dia benci 26 Desember.",0
"Hujan besar deres banget.
Milih tidur.
Mimpi longsor.

😭😭",0
"Yang tinggal di Cengkareng. 
Apakah banjir?",0
"Semeru erupsi, kayaknya ngga bisa ke daerah timur lagi sampe bulan depan. :') padahal niatnya mau jemput saudara.",0
Rumah gw banjir gimna pulangnya 🥲,1
kirain gempa ternyata emg pusing,1
"hujan mulu dari siang sampe ada longsor, untung bukan di dukuh aku, tapi kasian bgt",0
"Till the end
Smpe abis ttp gak ada 
Yaudahhh
terserah lah 
Capek gue 
Ati gue dah sering kena angin puting beliung ggr this same thing
So males buat harap2lagi",1
"Bencana geologi : gempabumi, tsunami, letusan gunung berapi, dan tanah longsor.",0
Ga kuat liat video korban-korban gempa turki-suriah. Ya Allah. 😭,0
Nangis banget gue nonton episodenya yang gempa sama si kakek itu ya Gusti…,0
Ada yang ngerasain gempa ga di daerah tangsel?,0
Di dom kalian gede angin ga euy? sumpah  kaya ada puting beliung inimah,1
APAKAH GEMPA DI TURKI DI BUAT AMERIKA?,1
Daerah kalian dimana? Banjir gak?,0
"kalo phuwin ngadain qna gua mau nanya ""gmn pendapat bapak ttg liverpool musim ini? apakah bapak jg termasuk ke dlm salah satu pendukung nunez auuuuwwww dan percaya bhw dia adl serigala terakhir yg akan memberikan tsunami trofi kpd liverpool di musim yg akan dtg? trims""",0
Angin puting beliung nih kayaknya,1
"Sedih juga ya liat sahamnya GOTO longsor gitu. 

Tp lebih sedih lagi mereka ga healthy growth dr dulu. Ngorbanin banyak hal.",0
Ngeri banget ya Allah dari kemaren2 notif gempa di jayapura ga henti2nya..,0
"Musibah banyak banget kalau di akhir tahun. Gempa, erupsi, banjir. Kaya barengan aja semua serentak di Desember.",0
"kemarin, kamis (9/02) telah terjadi gempa lima koma sekian SR pada sekitar pukul 15:44. saat itu beta sedang melaksanakan rapat di lantai 2 kantor Bupati Jayapura. kejadian gempanya dua kali. mengkhawatirkan. beta coba ceritakan.",0
"Buka google isinya britanya hmpir tiap hr soal 
Tsunami , megatrush ..bikin gw parno tiap hari !!😭",0
saling terangsang itu nama lainnya angin puting beliung; angin tornado Kok jadi aleksanangsang yakni keluarga Robinson Saragih dan Yenny Elisabeth yang diincar selama ini yah. @I_C_YouthCenter,0
"kenapa suniw SMA lama bgt ngasih info libur apa kaga nyaa 😠 gua udh sampe sekolah, anak anak lain pada diluar, perasaan gua udh ga enak nih soalnya kali dh banjir arah parkiran, lah coy trnyata libur SMK nya, yaudah lah w balik aja SMA lama banget kesel 😠",0
gempa ni bikin ribet aja,0
